K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
2,80,0,42,true,0.4545,9.090,1.0000,11.350,35.562,915,114,0,1.874076e-07,false,17.489,0.3903
2,80,1,43,true,0.4105,8.210,1.0000,12.100,38.013,997,108,0,2.774475e-07,false,19.986,0.3207
2,80,2,44,true,0.4416,8.833,1.0000,13.250,41.487,1079,120,0,2.813835e-07,false,20.828,0.2975
2,80,3,45,true,0.4429,8.857,1.0000,12.775,40.062,1034,127,0,2.376551e-07,false,17.471,0.2324
2,80,4,46,true,0.4541,9.082,1.0000,12.625,40.237,1067,132,0,2.173732e-07,false,19.409,0.2698
2,80,5,47,true,2.0022,40.044,1.0000,12.700,47.150,1416,324,0,4.650458e-07,false,16.769,0.3118
2,80,6,48,true,0.4935,9.869,1.0000,13.200,41.350,1070,126,0,3.087517e-07,false,19.303,0.3031
2,80,7,49,true,0.4015,8.031,1.0000,13.675,42.550,1094,122,0,4.463831e-07,false,16.910,0.2871
2,80,8,50,true,0.4502,9.004,1.0000,12.600,39.487,1039,104,0,9.214755e-07,false,20.311,0.3341
2,80,9,51,false,2.0019,40.039,0.9750,12.175,48.600,1569,403,0,2.333033e-07,false,19.699,0.3423
2,80,10,52,true,0.4171,8.341,1.0000,11.300,35.375,921,101,0,3.458530e-07,false,17.807,0.3779
2,80,11,53,true,0.4686,9.372,1.0000,12.575,39.538,1036,115,0,3.859902e-07,false,18.193,0.2817
2,80,12,54,true,0.4057,8.115,1.0000,12.075,37.475,966,100,0,3.238586e-07,false,16.698,0.2789
2,80,13,55,true,0.5647,11.293,1.0000,12.025,38.212,1012,121,0,2.564920e-07,false,21.454,0.3383
2,80,14,56,true,0.4086,8.171,1.0000,11.850,36.788,948,99,0,2.649970e-07,false,21.075,0.3755
2,80,15,57,true,0.4735,9.471,1.0000,11.675,36.350,953,87,0,2.748035e-07,false,17.854,0.3465
2,80,16,58,true,0.4062,8.125,1.0000,13.200,41.125,1056,122,0,4.077916e-07,false,14.706,0.4059
2,80,17,59,true,0.4046,8.092,1.0000,11.325,35.263,906,103,0,4.343349e-07,false,20.851,0.3509
2,80,18,60,true,0.3971,7.943,1.0000,11.500,35.612,920,89,0,2.636035e-07,false,14.138,0.3336
2,80,19,61,true,0.4116,8.232,1.0000,12.575,39.500,1015,133,0,2.365156e-07,false,19.271,0.3100
2,80,20,62,true,0.4537,9.074,1.0000,11.350,36.938,1000,139,0,2.529721e-07,false,21.680,0.3984
2,80,21,63,true,1.4843,29.687,1.0000,13.300,45.962,1315,234,0,8.829243e-07,false,19.584,0.3339
2,80,22,64,true,0.4276,8.553,1.0000,13.125,41.062,1058,127,0,4.500796e-07,false,10.996,0.2171
2,80,23,65,true,0.4030,8.061,1.0000,11.575,35.975,926,100,0,2.736643e-07,false,18.384,0.3113
2,80,24,66,true,0.5727,11.455,1.0000,12.725,40.138,1043,132,0,2.676904e-07,false,14.483,0.2944
2,80,25,67,true,0.5940,11.880,1.0000,11.175,35.663,938,127,0,3.651047e-07,false,21.035,0.3211
2,80,26,68,false,2.0024,40.047,0.9500,12.000,55.413,1968,601,0,2.053224e-07,false,15.383,0.2463
2,80,27,69,true,0.3997,7.994,1.0000,11.950,37.000,956,92,0,2.921289e-07,false,17.586,0.2766
2,80,28,70,true,0.4669,9.339,1.0000,13.300,42.075,1100,138,0,2.392226e-07,false,16.024,0.3546
2,80,29,71,true,0.5052,10.104,1.0000,13.025,40.825,1063,119,0,2.306118e-07,false,17.281,0.2627
2,120,0,100042,true,0.4072,8.143,1.0000,19.000,59.433,2280,292,0,1.352921e-06,false,12.625,0.2282
2,120,1,100043,true,0.4016,8.031,1.0000,17.133,53.675,2056,273,0,8.940327e-07,false,9.149,0.2711
2,120,2,100044,true,0.4266,8.532,1.0000,19.967,62.692,2432,299,0,7.428117e-07,false,10.543,0.2290
2,120,3,100045,true,0.4862,9.723,1.0000,17.717,55.317,2143,243,0,1.026261e-06,false,11.669,0.2277
2,120,4,100046,true,0.4813,9.625,1.0000,17.367,54.958,2165,262,0,9.660119e-07,false,8.901,0.2685
2,120,5,100047,true,0.4338,8.677,1.0000,18.100,56.900,2219,265,0,7.252714e-07,false,13.035,0.2357
2,120,6,100048,true,0.4228,8.456,1.0000,19.500,61.567,2383,325,0,1.109260e-06,false,12.145,0.3223
2,120,7,100049,true,0.5051,10.102,1.0000,18.083,57.042,2229,276,0,1.390103e-06,false,15.145,0.2815
2,120,8,100050,true,0.4672,9.344,1.0000,19.800,62.225,2444,271,0,7.681700e-07,false,11.328,0.2154
2,120,9,100051,false,2.0020,40.039,0.9833,19.050,66.783,2901,571,0,1.382651e-06,false,8.785,0.1870
2,120,10,100052,true,0.4322,8.645,1.0000,18.250,57.242,2236,253,0,1.333004e-06,false,10.929,0.2329
2,120,11,100053,true,0.4883,9.765,1.0000,19.383,61.392,2409,306,0,1.160968e-06,false,11.148,0.2286
2,120,12,100054,true,0.4663,9.326,1.0000,19.250,60.375,2336,289,0,6.787359e-07,false,10.321,0.2135
2,120,13,100055,true,0.4491,8.982,1.0000,17.517,54.833,2125,251,0,8.996297e-07,false,9.692,0.2772
2,120,14,100056,true,0.5708,11.416,1.0000,20.050,63.258,2519,260,0,7.771278e-07,false,12.843,0.2273
2,120,15,100057,true,0.4095,8.189,1.0000,18.217,56.658,2197,230,0,1.099022e-06,false,12.886,0.2356
2,120,16,100058,true,0.4772,9.544,1.0000,17.433,55.392,2176,287,0,6.655070e-07,false,13.511,0.2213
2,120,17,100059,true,0.4402,8.804,1.0000,18.433,58.308,2304,269,0,9.323655e-07,false,11.187,0.2744
2,120,18,100060,false,2.0053,40.105,0.9833,19.633,69.867,3094,619,0,8.136384e-07,false,14.490,0.2255
2,120,19,100061,true,0.5035,10.070,1.0000,19.300,60.642,2353,292,0,8.911082e-07,false,8.910,0.2262
2,120,20,100062,true,0.4041,8.082,1.0000,19.433,60.525,2332,267,0,1.157463e-06,false,8.799,0.2278
2,120,21,100063,false,2.0024,40.048,0.9833,19.483,68.717,2979,626,0,8.731837e-07,false,10.309,0.2380
2,120,22,100064,true,0.5004,10.008,1.0000,19.167,60.283,2327,307,0,6.561535e-07,false,12.026,0.2561
2,120,23,100065,true,0.5016,10.033,1.0000,17.500,54.550,2111,235,0,6.806771e-07,false,11.224,0.2246
2,120,24,100066,true,0.4176,8.352,1.0000,18.367,57.017,2226,208,0,4.614328e-06,false,10.907,0.2049
2,120,25,100067,true,0.4664,9.329,1.0000,18.633,58.842,2307,282,0,2.192470e-06,false,9.885,0.2336
2,120,26,100068,false,2.0040,40.080,0.9833,17.450,62.258,2749,568,0,6.580169e-07,false,9.806,0.2490
2,120,27,100069,true,0.5537,11.074,1.0000,18.533,59.742,2362,359,0,2.047004e-06,false,12.520,0.2863
2,120,28,100070,true,0.4888,9.775,1.0000,18.050,57.642,2280,305,0,1.077641e-06,false,13.226,0.2558
2,120,29,100071,true,0.4759,9.518,1.0000,18.783,59.225,2310,289,0,7.621716e-07,false,10.542,0.2654
2,160,0,200042,true,0.4089,8.178,1.0000,24.125,75.406,3920,425,0,2.404173e-06,false,8.612,0.1718
2,160,1,200043,true,0.4972,9.944,1.0000,24.150,76.519,3983,532,0,2.160992e-06,false,7.086,0.2284
2,160,2,200044,true,0.4738,9.477,1.0000,24.887,77.750,4018,458,0,2.684585e-06,false,6.919,0.1844
2,160,3,200045,true,0.4558,9.116,1.0000,26.238,82.600,4312,508,0,3.004234e-06,false,6.524,0.2000
2,160,4,200046,true,0.4540,9.079,1.0000,23.900,75.362,3915,495,0,1.658301e-06,false,9.599,0.2057
2,160,5,200047,true,0.4343,8.686,1.0000,23.250,72.838,3767,447,0,1.951452e-06,false,7.426,0.2187
2,160,6,200048,true,0.4130,8.260,1.0000,26.850,84.344,4356,547,0,2.015243e-06,false,7.716,0.1985
