K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
3,20,0,42,true,0.4035,8.070,1.0000,2.100,6.350,42,1,0,3.670048e-10,false,151.935,0.9633
3,20,1,43,true,0.3971,7.942,1.0000,2.900,8.750,58,1,0,2.981667e-10,false,142.877,0.9262
3,20,2,44,true,0.3832,7.664,1.0000,3.300,10.000,66,2,0,6.553765e-09,false,121.117,0.8000
3,20,3,45,true,0.3982,7.965,1.0000,3.500,10.750,70,5,0,2.717937e-09,false,113.840,0.7704
3,20,4,46,true,0.3975,7.950,1.0000,2.900,8.750,58,1,0,7.671670e-10,false,132.284,0.8733
3,20,5,47,true,0.4033,8.066,1.0000,3.300,10.050,66,3,0,5.415896e-10,false,139.529,0.9259
3,20,6,48,true,0.3989,7.979,1.0000,4.300,13.050,86,3,0,5.089216e-09,false,98.069,0.7167
3,20,7,49,true,0.4350,8.699,1.0000,2.400,7.350,50,1,0,0.000000e+00,true,160.000,1.0000
3,20,8,50,true,0.4026,8.051,1.0000,3.400,10.200,68,0,0,1.569667e-09,false,127.895,0.8556
3,20,9,51,true,0.4038,8.076,1.0000,3.500,10.600,70,2,0,5.029327e-09,false,105.010,0.7489
3,20,10,52,true,0.4007,8.013,1.0000,2.300,7.000,46,2,0,3.317883e-10,false,142.049,0.9153
3,20,11,53,true,0.3925,7.850,1.0000,3.500,10.600,70,2,0,1.905780e-09,false,125.540,0.8487
3,20,12,54,true,0.4062,8.124,1.0000,2.700,8.150,54,1,0,6.460588e-10,false,132.977,0.8754
3,20,13,55,true,0.4079,8.158,1.0000,2.700,8.250,56,1,0,7.708247e-11,false,144.304,0.9038
3,20,14,56,true,0.4020,8.039,1.0000,2.300,6.950,46,1,0,5.074974e-10,false,133.925,0.8824
3,20,15,57,true,0.4054,8.108,1.0000,2.200,6.650,44,1,0,2.154621e-10,false,152.074,0.9509
3,20,16,58,true,0.3975,7.951,1.0000,3.200,9.700,64,2,0,6.882938e-10,false,116.507,0.8095
3,20,17,59,true,0.4028,8.057,1.0000,3.100,9.350,62,1,0,4.635722e-10,false,138.676,0.8981
3,20,18,60,true,0.4041,8.083,1.0000,2.400,7.250,48,1,0,2.507190e-10,false,139.904,0.9208
3,20,19,61,true,0.3964,7.928,1.0000,2.300,6.950,46,1,0,1.555644e-10,false,140.039,0.9132
3,20,20,62,true,0.4031,8.061,1.0000,2.500,7.550,50,1,0,1.160988e-09,false,139.679,0.9200
3,20,21,63,true,0.4028,8.056,1.0000,3.000,9.000,60,0,0,4.457459e-10,false,147.481,0.9673
3,20,22,64,true,0.3892,7.784,1.0000,4.000,12.100,80,2,0,1.458257e-09,false,106.356,0.7777
3,20,23,65,true,0.4686,9.371,1.0000,3.200,10.000,69,3,0,1.974136e-09,false,109.805,0.7599
3,20,24,66,true,0.3995,7.989,1.0000,5.200,15.950,104,7,0,1.856107e-09,false,86.547,0.7108
3,20,25,67,true,0.4058,8.117,1.0000,2.500,7.550,50,1,0,1.840761e-09,false,138.465,0.9025
3,20,26,68,true,0.4980,9.960,1.0000,2.600,8.250,57,4,0,1.778857e-09,false,137.234,0.8649
3,20,27,69,true,0.4245,8.491,1.0000,3.300,10.300,71,3,0,1.889220e-09,false,123.396,0.8835
3,20,28,70,true,0.7997,15.993,1.0000,3.600,14.400,121,23,0,1.664926e-09,false,111.584,0.7926
3,20,29,71,true,0.3902,7.803,1.0000,2.900,8.750,58,1,0,5.505680e-10,false,116.550,0.7762
3,40,0,100042,true,0.4058,8.116,1.0000,5.550,17.000,222,14,0,1.351975e-08,false,80.145,0.6411
3,40,1,100043,true,0.3978,7.955,1.0000,5.750,17.600,230,14,0,1.745144e-08,false,78.428,0.6283
3,40,2,100044,true,0.5126,10.253,1.0000,6.500,19.950,260,18,0,1.354619e-08,false,74.684,0.6247
3,40,3,100045,true,0.5124,10.248,1.0000,5.350,17.350,248,18,0,5.965835e-09,false,86.358,0.6676
3,40,4,100046,true,0.3996,7.993,1.0000,5.800,17.750,232,14,0,6.084880e-09,false,80.115,0.6608
3,40,5,100047,true,0.4047,8.095,1.0000,6.150,18.875,246,17,0,1.487082e-08,false,64.825,0.5976
3,40,6,100048,true,0.4566,9.133,1.0000,7.000,21.575,283,20,0,8.395819e-09,false,72.364,0.6036
3,40,7,100049,true,0.4034,8.068,1.0000,6.150,18.975,246,21,0,1.756731e-08,false,58.920,0.5101
3,40,8,100050,true,0.4057,8.115,1.0000,6.600,20.225,264,17,0,1.053223e-08,false,62.503,0.5762
3,40,9,100051,true,0.4057,8.115,1.0000,5.550,16.950,222,12,0,1.296609e-07,false,76.518,0.5802
3,40,10,100052,true,0.3981,7.961,1.0000,5.350,16.225,214,7,0,6.686270e-09,false,82.073,0.6301
3,40,11,100053,true,0.4051,8.101,1.0000,6.050,18.400,242,10,0,8.703382e-09,false,83.098,0.5945
3,40,12,100054,true,0.3998,7.995,1.0000,5.650,17.325,226,15,0,8.176829e-09,false,91.455,0.6692
3,40,13,100055,true,0.4805,9.610,1.0000,4.900,15.175,203,12,0,5.387222e-09,false,84.497,0.6291
3,40,14,100056,true,0.3976,7.951,1.0000,7.600,23.350,304,22,0,1.736794e-08,false,60.163,0.5386
3,40,15,100057,true,0.3991,7.982,1.0000,6.050,18.500,242,14,0,1.014012e-08,false,69.219,0.5751
3,40,16,100058,true,0.4052,8.105,1.0000,6.100,18.600,244,12,0,1.547145e-08,false,86.621,0.6487
3,40,17,100059,true,0.3992,7.984,1.0000,5.800,17.650,232,10,0,1.258116e-08,false,75.973,0.5754
3,40,18,100060,true,0.4039,8.078,1.0000,7.300,22.550,292,26,0,2.625562e-08,false,70.141,0.5414
3,40,19,100061,true,0.4003,8.005,1.0000,6.050,18.450,242,12,0,9.340840e-09,false,79.599,0.6228
3,40,20,100062,true,0.4019,8.039,1.0000,7.000,21.425,280,17,0,1.479027e-08,false,58.420,0.4950
3,40,21,100063,true,0.4036,8.073,1.0000,6.900,21.225,276,21,0,2.885900e-08,false,75.441,0.6043
3,40,22,100064,true,0.3983,7.965,1.0000,6.650,20.375,266,17,0,2.080039e-08,false,54.368,0.4876
3,40,23,100065,true,0.4334,8.667,1.0000,5.250,16.300,216,16,0,1.344252e-08,false,81.801,0.5985
3,40,24,100066,true,0.4032,8.064,1.0000,5.050,15.400,202,10,0,5.516740e-09,false,76.637,0.6098
3,40,25,100067,true,0.4023,8.046,1.0000,5.850,17.800,234,10,0,4.778997e-09,false,78.736,0.6099
3,40,26,100068,true,0.4242,8.483,1.0000,5.550,17.125,228,13,0,1.428501e-08,false,89.857,0.6622
3,40,27,100069,true,0.4449,8.899,1.0000,6.450,19.925,268,13,0,2.044348e-08,false,71.293,0.5468
3,40,28,100070,true,0.4254,8.508,1.0000,5.000,15.575,206,17,0,8.292478e-09,false,81.718,0.6568
3,40,29,100071,true,0.4050,8.099,1.0000,6.950,21.175,278,13,0,9.499263e-09,false,60.570,0.5303
3,60,0,200042,true,0.4771,9.541,1.0000,8.467,26.050,517,30,0,4.544907e-08,false,38.527,0.4388
3,60,1,200043,true,0.4330,8.661,1.0000,8.500,26.367,526,36,0,5.011344e-08,false,42.667,0.4441
3,60,2,200044,true,0.5393,10.786,1.0000,9.300,29.517,613,42,0,4.374532e-08,false,42.643,0.4446
3,60,3,200045,true,0.4030,8.059,1.0000,9.133,27.983,548,35,0,1.083826e-07,false,43.197,0.4142
3,60,4,200046,true,0.4080,8.159,1.0000,8.067,25.100,501,37,0,3.632619e-08,false,51.788,0.4593
3,60,5,200047,true,0.4017,8.033,1.0000,8.400,25.750,504,33,0,3.736601e-08,false,54.155,0.5248
3,60,6,200048,true,0.5043,10.087,1.0000,10.867,33.967,681,53,0,5.586330e-08,false,39.326,0.4155
3,60,7,200049,true,0.4042,8.085,1.0000,8.267,25.267,496,28,0,3.309162e-08,false,42.266,0.4595
3,60,8,200050,true,0.4059,8.117,1.0000,9.067,27.633,544,26,0,3.411703e-08,false,51.343,0.4624
3,60,9,200051,true,0.4343,8.686,1.0000,9.667,30.083,605,40,0,3.750146e-08,false,42.870,0.4647
3,60,10,200052,true,0.4382,8.764,1.0000,8.033,24.683,491,26,0,3.870952e-08,false,40.414,0.3974
3,60,11,200053,true,0.4562,9.125,1.0000,8.500,26.350,522,39,0,3.008622e-08,false,45.798,0.4400
3,60,12,200054,true,0.4009,8.019,1.0000,8.400,25.767,504,34,0,4.230676e-08,false,32.772,0.4027
3,60,13,200055,true,0.4978,9.955,1.0000,9.167,28.800,583,45,0,3.920214e-08,false,50.686,0.4746
3,60,14,200056,true,0.4057,8.114,1.0000,8.433,25.883,506,35,0,3.752495e-08,false,58.201,0.5074
3,60,15,200057,true,0.4557,9.115,1.0000,9.700,30.133,606,38,0,3.326584e-08,false,42.847,0.4161
3,60,16,200058,true,0.4966,9.932,1.0000,9.700,30.350,614,43,0,5.226498e-08,false,37.692,0.3987
3,60,17,200059,true,0.4011,8.022,1.0000,9.100,27.833,546,32,0,3.177382e-08,false,44.782,0.4929
3,60,18,200060,true,0.4016,8.032,1.0000,9.300,28.433,558,32,0,3.125742e-08,false,48.052,0.4424
3,60,19,200061,true,0.4469,8.937,1.0000,9.300,28.650,568,35,0,4.181582e-08,false,50.577,0.4902
3,60,20,200062,true,0.3997,7.993,1.0000,9.800,30.000,588,36,0,3.289909e-08,false,40.839,0.4317
3,60,21,200063,true,0.4981,9.963,1.0000,8.000,24.567,482,32,0,3.427059e-08,false,47.417,0.4471
3,60,22,200064,true,0.4047,8.094,1.0000,9.933,30.517,596,43,0,5.481263e-08,false,47.667,0.4419
