K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
3,20,0,42,true,0.3965,7.93,1.0000,2.10,6.35,42,1,0,3.670048e-10,false,152.39,0.9641
3,20,1,43,true,0.3967,7.93,1.0000,2.90,8.75,58,1,0,1.378354e-08,false,139.11,0.9124
3,20,2,44,true,0.4011,8.02,1.0000,3.30,10.05,66,3,0,3.449494e-09,false,110.72,0.7754
3,20,3,45,true,0.4049,8.10,1.0000,3.50,10.60,70,2,0,1.709484e-09,false,125.02,0.8325
3,20,4,46,true,0.3863,7.73,1.0000,2.90,8.75,58,1,0,7.226739e-10,false,133.46,0.8816
3,40,0,100042,true,0.4016,8.03,1.0000,5.55,17.02,222,15,0,1.318628e-08,false,80.34,0.6399
3,40,1,100043,true,0.4001,8.00,1.0000,5.75,17.48,230,9,0,2.221601e-08,false,80.31,0.6102
3,40,2,100044,true,0.3963,7.93,1.0000,6.50,19.88,260,15,0,1.461559e-08,false,81.42,0.6609
3,40,3,100045,true,0.3990,7.98,1.0000,5.35,16.25,214,8,0,1.286810e-08,false,85.48,0.6694
3,40,4,100046,true,0.4040,8.08,1.0000,5.80,17.68,232,11,0,7.500738e-09,false,83.94,0.6679
3,60,0,200042,true,0.4024,8.05,1.0000,8.47,25.85,508,27,0,7.314585e-08,false,38.48,0.4359
3,60,1,200043,true,0.4035,8.07,1.0000,8.50,26.08,510,35,0,6.812217e-08,false,45.28,0.4741
3,60,2,200044,true,0.4043,8.09,1.0000,9.30,28.50,558,36,0,4.407842e-08,false,38.85,0.4284
3,60,3,200045,true,0.4008,8.02,1.0000,9.13,28.03,548,38,0,9.608613e-08,false,46.23,0.4279
3,60,4,200046,true,0.4039,8.08,1.0000,8.07,24.80,484,36,0,2.804521e-08,false,44.77,0.4700
3,80,0,300042,true,0.4022,8.04,1.0000,11.32,34.79,906,65,0,7.151694e-08,false,34.11,0.4007
3,80,1,300043,true,0.4047,8.09,1.0000,11.12,34.33,890,76,0,1.177870e-07,false,31.19,0.4829
3,80,2,300044,true,0.4018,8.04,1.0000,13.05,40.23,1044,86,0,9.923894e-08,false,22.27,0.3167
3,80,3,300045,true,0.4025,8.05,1.0000,11.82,36.25,946,62,0,9.324735e-08,false,32.67,0.4539
3,80,4,300046,true,0.4013,8.03,1.0000,12.72,39.27,1018,88,0,9.983923e-08,false,29.15,0.4184
4,20,0,400042,true,0.3973,7.95,1.0000,2.80,8.40,56,0,0,0.000000e+00,true,160.00,1.0000
